Trip..Duration,Start.Station.Id,Start.Time,End.Station.Id,End.Time,User.Type,Long_Trip
355,7027,12/02/2021 14:30,7293,12/02/2021 14:36,Annual Member,No
1939,7096,12/02/2021 14:48,7338,12/02/2021 15:20,Casual Member,Yes
285,7346,12/02/2021 15:52,7338,12/02/2021 15:56,Casual Member,No
1049,7149,12/02/2021 16:24,7249,12/02/2021 16:41,Annual Member,Yes
922,7053,12/02/2021 16:58,7107,12/02/2021 17:14,Casual Member,Yes
459,7148,12/02/2021 17:11,7662,12/02/2021 17:19,Casual Member,No
11202,7102,12/02/2021 17:12,7662,12/02/2021 20:18,Casual Member,Yes
248,7077,12/02/2021 17:16,7293,12/02/2021 17:21,Annual Member,No
779,7003,12/02/2021 17:18,7293,12/02/2021 17:31,Casual Member,No
732,7281,12/02/2021 17:45,7293,12/02/2021 17:57,Casual Member,No
691,7281,12/02/2021 17:45,7293,12/02/2021 17:57,Casual Member,No
337,7190,12/02/2021 17:47,7293,12/02/2021 17:53,Annual Member,No
722,7042,12/02/2021 17:51,7293,12/02/2021 18:03,Annual Member,No
535,7079,12/02/2021 17:56,7293,12/02/2021 18:05,Annual Member,No
705,7342,12/02/2021 18:13,7338,12/02/2021 18:25,Casual Member,No
385,7105,12/02/2021 18:20,7107,12/02/2021 18:27,Annual Member,No
372,7285,12/02/2021 18:48,7293,12/02/2021 18:55,Casual Member,No
1171,7072,12/02/2021 19:11,7662,12/02/2021 19:31,Annual Member,Yes
247,7093,12/02/2021 19:18,7338,12/02/2021 19:22,Annual Member,No
1720,7286,12/02/2021 20:02,7338,12/02/2021 20:31,Casual Member,Yes
1722,7286,12/02/2021 20:02,7338,12/02/2021 20:31,Casual Member,Yes
818,7675,12/02/2021 20:03,7662,12/02/2021 20:16,Annual Member,No
396,7226,12/02/2021 20:20,7662,12/02/2021 20:26,Annual Member,No
396,7020,12/02/2021 20:36,7293,12/02/2021 20:42,Annual Member,No
475,7021,12/02/2021 20:57,7293,12/02/2021 21:05,Annual Member,No
601,7023,12/02/2021 22:03,7249,12/02/2021 22:13,Casual Member,No
204,7006,12/02/2021 23:48,7293,12/02/2021 23:52,Annual Member,No
1057,7321,12/03/2021 06:47,7249,12/03/2021 07:04,Annual Member,Yes
390,7316,12/03/2021 07:51,7428,12/03/2021 07:58,Annual Member,No
489,7246,12/03/2021 08:31,7293,12/03/2021 08:39,Annual Member,No
948,7158,12/03/2021 08:33,7293,12/03/2021 08:49,Annual Member,Yes
768,7508,12/03/2021 08:45,7293,12/03/2021 08:58,Annual Member,No
248,7170,12/03/2021 08:49,7293,12/03/2021 08:54,Annual Member,No
317,7006,12/03/2021 08:53,7293,12/03/2021 08:58,Annual Member,No
332,7022,12/03/2021 08:55,7293,12/03/2021 09:00,Annual Member,No
675,7055,12/03/2021 09:02,7293,12/03/2021 09:13,Annual Member,No
705,7419,12/03/2021 09:07,7293,12/03/2021 09:19,Annual Member,No
300,7023,12/03/2021 09:09,7293,12/03/2021 09:14,Casual Member,No
1414,7327,12/03/2021 10:49,7293,12/03/2021 11:12,Annual Member,Yes
765,7357,12/03/2021 10:53,7338,12/03/2021 11:06,Annual Member,No
311,7162,12/03/2021 11:13,7293,12/03/2021 11:18,Annual Member,No
365,7030,12/03/2021 11:33,7293,12/03/2021 11:39,Annual Member,No
740,7184,12/03/2021 11:38,7293,12/03/2021 11:51,Annual Member,No
1329,7251,12/03/2021 12:04,7338,12/03/2021 12:26,Casual Member,Yes
351,7022,12/03/2021 13:20,7293,12/03/2021 13:25,Annual Member,No
1093,7103,12/03/2021 13:48,7428,12/03/2021 14:06,Annual Member,Yes
727,7653,12/03/2021 14:06,7662,12/03/2021 14:18,Casual Member,No
574,7273,12/03/2021 14:12,7293,12/03/2021 14:21,Annual Member,No
290,7273,12/03/2021 14:39,7293,12/03/2021 14:44,Annual Member,No
292,7198,12/03/2021 14:42,7662,12/03/2021 14:47,Annual Member,No
1592,7329,12/03/2021 14:51,7662,12/03/2021 15:17,Casual Member,Yes
315,7030,12/03/2021 14:55,7293,12/03/2021 15:00,Casual Member,No
1257,7412,12/03/2021 15:02,7662,12/03/2021 15:23,Casual Member,Yes
456,7544,12/03/2021 15:41,7293,12/03/2021 15:49,Annual Member,No
826,7344,12/03/2021 15:48,7107,12/03/2021 16:01,Casual Member,No
551,7009,12/03/2021 15:57,7107,12/03/2021 16:06,Annual Member,No
327,7077,12/03/2021 16:08,7293,12/03/2021 16:14,Annual Member,No
665,7523,12/03/2021 16:42,7662,12/03/2021 16:53,Casual Member,No
410,7103,12/03/2021 16:50,7338,12/03/2021 16:57,Annual Member,No
859,7005,12/03/2021 17:10,7107,12/03/2021 17:24,Annual Member,No
781,7452,12/03/2021 17:22,7293,12/03/2021 17:35,Annual Member,No
1441,7489,12/03/2021 17:47,7249,12/03/2021 18:11,Annual Member,Yes
406,7271,12/03/2021 17:58,7293,12/03/2021 18:05,Annual Member,No
427,7055,12/03/2021 18:07,7293,12/03/2021 18:15,Annual Member,No
200,7007,12/03/2021 18:17,7293,12/03/2021 18:21,Annual Member,No
811,7239,12/03/2021 18:30,7249,12/03/2021 18:44,Annual Member,No
1195,7198,12/03/2021 18:46,7293,12/03/2021 19:06,Annual Member,Yes
412,7399,12/03/2021 19:31,7107,12/03/2021 19:38,Annual Member,No
820,7157,12/03/2021 19:37,7249,12/03/2021 19:50,Annual Member,No
263,7030,12/03/2021 19:48,7293,12/03/2021 19:52,Annual Member,No
248,7006,12/03/2021 19:48,7293,12/03/2021 19:52,Annual Member,No
532,7148,12/03/2021 19:51,7662,12/03/2021 20:00,Annual Member,No
501,7155,12/03/2021 19:59,7293,12/03/2021 20:07,Annual Member,No
369,7094,12/03/2021 20:08,7338,12/03/2021 20:14,Casual Member,No
1370,7483,12/03/2021 20:15,7338,12/03/2021 20:38,Casual Member,Yes
639,7338,12/03/2021 23:25,7338,12/03/2021 23:36,Casual Member,No
